=================================================================
  HSW-SF Pretest Training Loop
  Device : mps
  Nodes  : 20  |  Episodes : 30  |  Steps/ep : 100
=================================================================
[Data] Loading EuroSAT dataset (this may take a moment if downloading...)
  Ep   1 | Step    0 | G-Step      0 |  R=-0.709  V_top=0.0950  η=0.501  L_cut= 4  SplitFed  T_loss=2.291  S_loss=0.702  CritL=nan  ActL=nan
  Ep   1 | Step   10 | G-Step     10 |  R=-0.492  V_top=0.6044  η=0.518  L_cut= 8  FALLBACK  T_loss=0.000  S_loss=2.300  CritL=nan  ActL=nan
  Ep   1 | Step   20 | G-Step     20 |  R=-0.581  V_top=0.9403  η=0.509  L_cut=11  FALLBACK  T_loss=0.000  S_loss=2.307  CritL=nan  ActL=nan
  Ep   1 | Step   30 | G-Step     30 |  R=+0.000  V_top=1.0075  η=69315.265  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=2.214  CritL=nan  ActL=nan
  Ep   1 | Step   40 | G-Step     40 |  R=-0.794  V_top=1.0663  η=0.508  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=2.152  CritL=nan  ActL=nan
  Ep   1 | Step   50 | G-Step     50 |  R=-0.872  V_top=1.1040  η=0.502  L_cut=12  FALLBACK  T_loss=0.000  S_loss=2.041  CritL=nan  ActL=nan
  Ep   1 | Step   60 | G-Step     60 |  R=+0.000  V_top=1.1714  η=0.611  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=2.089  CritL=nan  ActL=nan
  Ep   1 | Step   70 | G-Step     70 |  R=+0.000  V_top=1.2240  η=0.538  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.880  CritL=nan  ActL=nan
  Ep   1 | Step   80 | G-Step     80 |  R=-0.416  V_top=1.2317  η=0.507  L_cut= 9  FALLBACK  T_loss=0.000  S_loss=1.834  CritL=nan  ActL=nan
  Ep   1 | Step   90 | G-Step     90 |  R=+0.000  V_top=1.2374  η=0.535  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.811  CritL=nan  ActL=nan

>>> Episode   1 done  |  Return=-346625.86  Avg10=-346625.86  Time=3.0s  Buffer=1373  Alive_nodes=15/20

